         	         
raddaa	raddaa
šaddaa	šaddaa
vaijaa	vaijaa
valjaa	valjaa
hallaa	hallaa
tullâpaa	tullâpaa
kavraa	kavraa
assaa	assaa
passaa	passaa
arvaa	arvaa
paha	paha
oovdeb	oovdeb
kobdeeb	kobdeeb
maajeeb	maajeeb
paajeeb	paajeeb
siskeeb	siskeeb
aaleeb	aaleeb
vyeleeb	vyeleeb
tooleeb	tooleeb
kasseeb	kasseeb
älkkeb	älkkeb
ollâgub	ollâgub
siskelub	siskelub
eeđâb	eeđâb
sappeed	sappeed
njapped	njapped
čäähid	čääHid
päskid	päskid
myessid	myessid
čuássid	čuássid
lävvid	lävvid
läävvid	läävvid
kuáŋŋid	kuáŋŋid
poonjeeld	poonjeeld
čuumâld	čuumâld
muálkkud	muál'kkud
čuáđáád	čuáđáád
ilbâd	ilbâd
šolbâd	šolbâd
njarbâd	njarbâd
jurbâd	jurbâd
rooccâd	rooccâd
kiddâd	kiddâd
vaigâd	vaigâd
vielgâd	viel'gâd
šelgâd	šelgâd
ilgâd	ilgâd
jolgâd	jolgâd
njuolgâd	njuol'gâd
epinjuolgâd	epinjuolgâd
kiergâd	kier'gâd
tergâd	tergâd
korgâd	korgâd
torgâd	torgâd
storgâd	storgâd
surgâd	surgâd
čurgâd	čurgâd
avgâd	avgâd
snavgâd	snavgâd
kuovgâd	kuov'gâd
čovgâd	čovgâd
njuvgâd	njuvgâd
suohâd	suoHâd
suohâd	suohâd
vuohâd	vuohâd
kaavhâd	kaavhâd
purjâd	purjâd
čuovjâd	čuov'jâd
ruokkâd	ruok'kâd
tevkkâd	tevkkâd
šovkkâd	šovkkâd
českâd	českâd
fiskâd	fiskâd
viskâd	viskâd
joskâd	joskâd
poskâd	poskâd
luškâd	luškâd
ruškâd	ruškâd
šeellâd	šeellâd
šoollâd	šoollâd
vuommâd	vuommâd
lašmâd	lašmâd
raappâd	raappâd
rappâd	rappâd
čappâd	čappâd
heeppâd	heeppâd
aarrâd	aarrâd
šeerrâd	šeerrâd
koorrâd	koorrâd
muurrâd	muurrâd
ruopsâd	ruop'sâd
lussâd	lussâd
leevvâd	leevvâd
siivvâd	siivvâd
čuovvâd	čuovvâd
kuokšâd	kuok'šâd
kalšâd	kalšâd
sevŋâd	sevŋâd
muččâd	muččâd
tolcce	tolcce
tulcce	tulcce
narcce	narcce
ucce	ucce
idde	idde
šlunde	šlunde
pyeccee	pyec'cee
njaddee	njaddee
ávjukyeddee	ávjukyeddee
paldee	paldee
kildee	kildee
kuárdee	kuár'dee
kovdee	kovdee
luávdee	luáv'dee
virgetahhee	virgetahhee
jiehhee	jieh'hee
čäcijiehhee	čäcijiehhee
juhhee	juhhee
pilledeijee	pilledeijee
västideijee	västideijee
nanodeijee	nanodeijee
iberdeijee	iberdeijee
párudeijee	párudeijee
tuššâdeijee	tuššâdeijee
näggejeijee	näggejeijee
huksejeijee	huksejeijee
fijnáht lättejeijee	fijnáht lättejeijee
uáinojeijee	uái'nojeijee
killájeijee	killájeijee
vuáláneijee	vuá'Láneijee
cokkâneijee	cokkâneijee
oskotteijee	o'skotteijee
morâtteijee	morâtteijee
purâtteijee	purâtteijee
merhâšeijee	me'rhâšeijee
purâttijee	purâttijee
iberdijjee	iberdijjee
lyetittijjee	lye'tittijjee
merhâšijjee	me'rhâšijjee
älkkee	älkkee
kukkee	kukkee
ellee	ellee
árvuštellee	á'rvuštellee
áášánkullee	áášánkullee
tuáimee	tuáimee
jämmee	jämmee
aldauáinee	aldauáinee
vannee	vannee
čannee	čannee
karree	karree
puohporree	puohporree
apsee	apsee
jiellâhistee	jiellâhistee
acâkkistee	acâkkistee
iberdettee	iberdettee
čiähádettee	čiä'hádettee
puohtiettee	puohtiettee
pettee	pettee
ärmittettee	ä'rmittettee
oskottettee	o'skottettee
tájuttettee	tájuttettee
cogâttettee	cogâttettee
kejâttettee	keJâttettee
polâttettee	polâttettee
tuđâttettee	tuđâttettee
káđáldittee	káđáldittee
verditittee	verditittee
pirâstittee	pirâstittee
monâttittee	monâttittee
huámášittee	huá'Mášittee
