ATK-terminaal	ATK-terminaal+N+Sg+Nom
humosláván	humoslágán+A+Sg+Nom
humosláván	humoslágán+A+Attr



hyeneslágán	hyeneslágán+A+Sg+Nom
hyeneslágán	hyeneslágán+A+Attr


háávdánsivnedem	háávdánsivnedem+N+Sg+Nom


ihásâšjuurrâm	ihásâš+A+Cmp/Attr+Cmp#juurâ+N+Sg+Nom+PxSg1
ihásâšjuurrâm	ihásâš+A+Cmp/Attr+Cmp#juurrâm+N+Sg+Nom
ihásâšjuurrâm	ihásâš+A+Cmp/Attr+Cmp#juurrâđ+V+Der/NomAct+N+Sg+Nom
ihásâšjuurrâm	ihásâš+A+Cmp/SgNom+Cmp#juurâ+N+Sg+Nom+PxSg1
ihásâšjuurrâm	ihásâš+A+Cmp/SgNom+Cmp#juurrâm+N+Sg+Nom
ihásâšjuurrâm	ihásâš+A+Cmp/SgNom+Cmp#juurrâđ+V+Der/NomAct+N+Sg+Nom
ihásâšjuurrâm	ihásâšjuurrâm+N+Sg+Nom
ihásâšjuurrâm	ihe+N+Der/sasj+A+Cmp/Attr+Cmp#juurâ+N+Sg+Nom+PxSg1
ihásâšjuurrâm	ihe+N+Der/sasj+A+Cmp/Attr+Cmp#juurrâm+N+Sg+Nom
ihásâšjuurrâm	ihe+N+Der/sasj+A+Cmp/Attr+Cmp#juurrâđ+V+Der/NomAct+N+Sg+Nom
ihásâšjuurrâm	ihe+N+Der/sasj+A+Cmp/SgNom+Cmp#juurâ+N+Sg+Nom+PxSg1
ihásâšjuurrâm	ihe+N+Der/sasj+A+Cmp/SgNom+Cmp#juurrâm+N+Sg+Nom
ihásâšjuurrâm	ihe+N+Der/sasj+A+Cmp/SgNom+Cmp#juurrâđ+V+Der/NomAct+N+Sg+Nom


illá	illá+Adv

iptoviola	iptoviola+N+Sg+Nom

irgástellee	irgástellee+N+NomAg+Sg+Nom

iäccáá	iäccáá+A+Sg+Nom


jiehhee	jiehhee+N+Sg+Nom
jiehhee	jiehiđ+V+PrsPrc
jiehhee	jiehiđ+V+Der/NomAg+N+Sg+Nom
jiehhee	jiehiđ+V+Imprt+Du2

jienâttem	jienâ+N+Der/Car+A+Sg+Nom
jienâttem	jienâttiđ+V+Actio+Nom
jienâttem	jienâttiđ+V+Der/NomAct+N+Sg+Nom
jienâttem	jienâttem+A+Sg+Nom

jiešiäluid	jiešiäluid+Adv


jieškote-uv	jieškote+Pron+Indef+Attr+Foc/uv
jieškote-uv	jieškote+Pron+Indef+Sg+Gen+Foc/uv
jieškote-uv	jieškote+Pron+Indef+Sg+Nom+Foc/uv


jiäggáá	jiäggáá+A+Sg+Nom

jorgod	jorgođ+V+Der/d+V+Imprt+ConNeg
jorgod	jorgod+Adv





jurbâkiärppáálostâ	jurbâkiärppáálostâ+N+Sg+Nom

jámálgiddee	jámálgiddee+N+Sg+Nom

jámástellee	jámástellee+N+NomAg+Sg+Nom

jávuttuđ	jávuttuđ+V+IV+Inf
jávuttuđ	jávuttuđ+V+IV+Imprt+Pl2

jáákkuppeivi	jáákkuppeivi+N+Sg+Nom

jämmeesaahâ	jäämmiđ+V+Der/NomAg+N+Cmp/SgGen+Cmp#saahâ+N+Sg+Nom
jämmeesaahâ	jäämmiđ+V+Der/NomAg+N+Cmp/SgNom+Cmp#saahâ+N+Sg+Nom
jämmeesaahâ	jämmeesaahâ+N+Sg+Nom
jämmeesaahâ	jämmee+N+NomAg+Cmp/SgGen+Cmp#saahâ+N+Sg+Nom
jämmeesaahâ	jämmee+N+NomAg+Cmp/SgNom+Cmp#saahâ+N+Sg+Nom


kaarleväldisuábbi	kaarleväldisuábbi+N+Sg+Nom



kaljesuáivi	kaljesuáivi+N+Sg+Nom

kalliđ	kalliđ+V+Inf
kalliđ	kalliđ+V+Imprt+Pl2

kamâspiddonjälmi	kamâspiddo+N+Cmp/SgNom+Cmp#njälmi+N+Sg+Nom
kamâspiddonjälmi	kamâspiddonjälmi+N+Sg+Nom

kamâspuuvsah	kaamâs+v1+N+Cmp/SgNom+Cmp#puuvsah+N+Pl+Nom
kamâspuuvsah	kamâspuuvsah+N+Pl+Nom

kargiđ	kargiđ+V+Inf
kargiđ	kargiđ+V+Imprt+Pl2

kashmirpuájuiloddááš	kashmirpuájuiloddááš+N+Sg+Nom
kashmirpuájuiloddááš	kashmir+N+Cmp/SgGen+Cmp#puájui+N+Cmp/SgNom+Cmp#loddááš+N+Sg+Nom
kashmirpuájuiloddááš	kashmir+N+Cmp/SgGen+Cmp#puájuiloddááš+N+Sg+Nom
kashmirpuájuiloddááš	kashmir+N+Cmp/SgNom+Cmp#puájui+N+Cmp/SgNom+Cmp#loddááš+N+Sg+Nom
kashmirpuájuiloddááš	kashmir+N+Cmp/SgNom+Cmp#puájuiloddááš+N+Sg+Nom


kašmârmáátu	kašmârmáátu+N+Sg+Nom


keesis	keesi+N+Sg+Gen+PxDu3
keesis	keesi+N+Sg+Gen+PxPl3
keesis	keesi+N+Sg+Gen+PxSg3


