ATK-terminaal	ATK-terminaal+N+Sg+Nom
poorástivrejeijee	poorá+N+Cmp/SgNom+Cmp#stivriđ+V+Der/NomAg+N+Sg+Nom
poorástivrejeijee	poorástivrejeijee+N+NomAg+Sg+Nom


povnâ	povnâ+N+Sg+Nom


poškâttuđ	poškâttuđ+V+IV+Inf
poškâttuđ	poškâttuđ+V+IV+Imprt+Pl2

psykoloog	psykolog+Err/Orth+N+Sg+Nom



pudâlâš	puddâ+N+Der/lasj+A+Sg+Nom
pudâlâš	puddâ+N+Der/lasj+A+Attr
pudâlâš	pudâlâš+A+Sg+Nom
pudâlâš	pudâlâš+A+Attr


puldo	puldo+N+Sg+Nom

puncettem	puncce+N+Der/Car+A+Sg+Nom
puncettem	puncettem+A+Sg+Nom


puállám	puálláđ+V+PrfPrc
puállám	puálláđ+V+Ind+Prt+ConNeg
puállám	puálláđ+V+Actio+Nom
puállám	puálláđ+V+Der/NomAct+N+Sg+Nom
puállám	pyelliđ+V+PrfPrc
puállám	pyelliđ+V+Ind+Prt+ConNeg

puáššu	puáššu+N+Sg+Nom

puškuu	puškuu+A+Sg+Nom

pálgáduh	pálgáduh+N+Sg+Nom

pähtisuormâlostâ	pähti+N+Cmp/SgNom+Cmp#suormâ+N+Cmp/SgNom+Cmp#lostâ+N+Sg+Nom
pähtisuormâlostâ	pähti+N+Cmp/SgNom+Cmp#suormâ+N+Cmp/SgGen+Cmp#lostâ+N+Sg+Nom
pähtisuormâlostâ	pähtisuormâlostâ+N+Sg+Nom

pärdipeivi	pärdipeivi+N+Sg+Nom


reedleibi	reedleibi+N+Sg+Nom



reŋgâvuotâ	reŋgâvuotâ+N+Sg+Nom

ricci	ricci+N+Sg+Nom

rievtâg	rievtâg+N+Sg+Nom

rievtâgergi	rievtâg+N+Cmp/SgNom+Cmp#ergi+N+Sg+Nom
rievtâgergi	rievtâgergi+N+Sg+Nom

rivgoouáivi	rivgoo+N+Cmp/SgGen+Cmp#uáivi+N+Sg+Nom
rivgoouáivi	rivgoo+N+Cmp/SgNom+Cmp#uáivi+N+Sg+Nom
rivgoouáivi	rivgoouáivi+N+Sg+Nom


riččâmieskâdâh	riččâmieskâdâh+N+Sg+Nom

riččânjuolâs	riččânjuolâs+N+Sg+Nom

riččâšoovkâh	riččâšoovkâh+N+Sg+Nom

robdii	robdii+A+Sg+Nom

roovâsyeini	roovâsyeini+N+Sg+Nom

ruoinâhâš	ruoinâhâš+N+Sg+Nom

ruojâs	ruočâ+N+Sg+Gen+PxDu3
ruojâs	ruočâ+N+Sg+Gen+PxPl3
ruojâs	ruočâ+N+Sg+Gen+PxSg3




ruopsisjyelgsmiäruh	ruopsisjyelgsmiäruh+N+Sg+Nom

ruopsisčuáimáš	ruopsisčuáimáš+N+Sg+Nom

ruovgânješšikääni	ruovgânješšikääni+v1+N+Sg+Nom
ruovgânješšikääni	ruovgânješšikääni+v2+N+Sg+Nom

ruovjiđ	ruovjiđ+V+Inf
ruovjiđ	ruovjiđ+V+Imprt+Pl2


ruvvâšuđ	ruvvâšuđ+V+IV+Inf
ruvvâšuđ	ruvvâšuđ+V+IV+Imprt+Pl2

ruáhuaččinlodde	ruáhuaččinlodde+N+Sg+Nom



ruánzáá	ruánzáá+A+Sg+Nom

ruáptud	ruáptud+Adv




ruáváidittiđ	ruáváidittiđ+V+Inf

ruškisnjaalgâsyeini	ruškisnjaalgâsyeini+N+Sg+Nom



rákkásávt	rákkásávt+Adv
rákkásávt	rákkásâš+A+Der/AAdv+Adv
rákkásávt	räähis+A+Der/AAdv+Adv


rääpis	rääpis+A+Sg+Nom


saijeemvijlo	saijeeđ+V+Der/NomAct+N+Cmp/SgGen+Cmp#vijlo+N+Sg+Nom
saijeemvijlo	saijeeđ+V+Der/NomAct+N+Cmp/SgNom+Cmp#vijlo+N+Sg+Nom
saijeemvijlo	saijeemvijlo+N+Sg+Nom
saijeemvijlo	saijeem+N+Cmp/SgGen+Cmp#vijlo+N+Sg+Nom
saijeemvijlo	saijeem+N+Cmp/SgNom+Cmp#vijlo+N+Sg+Nom

saimâkievđâ	saimâkievđâ+N+Sg+Nom

salgii	salgii+A+Sg+Nom


sarettuđ	sarettuđ+V+IV+Inf
sarettuđ	sarettuđ+V+IV+Imprt+Pl2

sarâpäddi	sarâpäddi+N+Sg+Nom

seegâsyeini	seegâsyeini+N+Sg+Nom


seevi	seevviđ+V+Ind+Prs+ConNeg
seevi	seevviđ+V+Imprt+Sg2

segiskiärppáálostâ	seegis+A+Cmp/Attr+Cmp#kiärpáš+N+Cmp/SgGen+Cmp#lostâ+N+Sg+Nom
segiskiärppáálostâ	seegis+A+Cmp/Attr+Cmp#kiärppáálostâ+N+Sg+Nom
segiskiärppáálostâ	seggi+A+Cmp/Attr+Cmp#kiärpáš+N+Cmp/SgGen+Cmp#lostâ+N+Sg+Nom
segiskiärppáálostâ	seggi+A+Cmp/Attr+Cmp#kiärppáálostâ+N+Sg+Nom
segiskiärppáálostâ	segiskiärppáálostâ+N+Sg+Nom

segisluhtee	seegis+A+Cmp/Attr+Cmp#luhtee+N+Sg+Nom
segisluhtee	seggi+A+Cmp/Attr+Cmp#luhtee+N+Sg+Nom
segisluhtee	segisluhtee+N+Sg+Nom

segispuálččimieđâš	seegis+A+Cmp/Attr+Cmp#puálčči+N+Cmp/SgNom+Cmp#mietâ+N+Der/Dimin+N+Sg+Nom
segispuálččimieđâš	seegis+A+Cmp/Attr+Cmp#puálčči+N+Cmp/SgNom+Cmp#mieđâš+N+Sg+Nom
segispuálččimieđâš	seggi+A+Cmp/Attr+Cmp#puálčči+N+Cmp/SgNom+Cmp#mietâ+N+Der/Dimin+N+Sg+Nom
segispuálččimieđâš	seggi+A+Cmp/Attr+Cmp#puálčči+N+Cmp/SgNom+Cmp#mieđâš+N+Sg+Nom
segispuálččimieđâš	segispuálččimieđâš+N+Sg+Nom


setišlaajâ	setišlaajâ+N+Sg+Nom

siberiapuájuiloddááš	siberiapuájuiloddááš+N+Sg+Nom

siemriddokáánááš	siemriddokáánááš+N+Sg+Nom



sinosyeini	sino+N+Cmp/SgGen+Cmp#syeini+N+Sg+Nom
sinosyeini	sino+N+Cmp/SgNom+Cmp#syeini+N+Sg+Nom
sinosyeini	sinosyeini+N+Sg+Nom



siärvuslâšvuotâ	siärvuslâšvuotâ+N+Sg+Nom
siärvuslâšvuotâ	siärvuslâš+A+Der/vuota+N+Sg+Nom
siärvuslâšvuotâ	siärvus+v2+N+Der/Nom+Der/lasj+A+Der/vuota+N+Sg+Nom
siärvuslâšvuotâ	siärvus+v2+N+Der/lasj+A+Der/vuota+N+Sg+Nom


skinnemuáddá	skinnemuáddá+N+Sg+Nom


skálváá	skálváá+A+Sg+Nom



soksiisvuoivâssyeini	soksii+A+Cmp/Attr+Cmp#vuoivâs+N+Cmp/SgGen+Cmp#syeini+N+Sg+Nom
soksiisvuoivâssyeini	soksii+A+Cmp/Attr+Cmp#vuoivâs+N+Cmp/SgNom+Cmp#syeini+N+Sg+Nom
soksiisvuoivâssyeini	soksiisvuoivâssyeini+N+Sg+Nom

soljo	soljo+N+Sg+Nom

soovsâluđ	soovsâluđ+V+IV+Inf
soovsâluđ	soovsâluđ+V+IV+Imprt+Pl2

soovsâmaadâlostâ	soovsâ+N+Cmp/SgNom+Cmp#maadâ+N+Cmp/SgNom+Cmp#lostâ+N+Sg+Nom
soovsâmaadâlostâ	soovsâ+N+Cmp/SgNom+Cmp#maadâ+N+Cmp/SgNom+Cmp#lostâ+N+Sg+Nom
soovsâmaadâlostâ	soovsâmaadâlostâ+N+Sg+Nom

sovláá	sovláá+Adv

sovsâluttiđ	sovsâluttiđ+V+Inf


spokkâlem	spokkâliđ+V+Der/NomAct+N+Sg+Nom
spokkâlem	spokkâliđ+V+Actio+Nom
spokkâlem	spokkâlem+N+Sg+Nom


storgâopsâsyeini	storgâopsâsyeini+N+Sg+Nom

stuljiđ	stuljiđ+V+Inf
stuljiđ	stuljiđ+V+Imprt+Pl2

stálppáá	stálppáá+A+Sg+Nom

suilokuákki	suilokuákki+N+Sg+Nom

suohisuáivi	suohâd+A+Cmp/Attr+Cmp#uáivi+N+Sg+Nom
suohisuáivi	suohisuáivi+N+Sg+Nom

syeinihaasi	syeini+N+Cmp/SgGen+Cmp#haasi+N+Sg+Nom
syeinihaasi	syeini+N+Cmp/SgNom+Cmp#haasi+N+Sg+Nom

sáigusuáráág	sáigusuáráág+N+Sg+Nom


sámáiditteđ	sámáiditteđ+V+Inf
sámáiditteđ	sámáiditteđ+V+Imprt+Pl2

sälttikyelipuvre	sältti+N+Cmp/SgNom+Cmp#kyeli+N+Cmp/SgNom+Cmp#puvre+N+Sg+Nom
sälttikyelipuvre	sälttikyeli+N+Cmp/SgNom+Cmp#puvre+N+Sg+Nom
sälttikyelipuvre	sälttikyelipuvre+N+Sg+Nom

sälttisalkkâr	sälttisalkkâr+N+Sg+Nom

sämihaldâttâh	säämi+N+Cmp/SgNom+Cmp#haldâttâh+N+Sg+Nom
sämihaldâttâh	säämi+N+Cmp/SgGen+Cmp#haldâttâh+N+Sg+Nom
sämihaldâttâh	sämihaldâttâh+N+Sg+Nom

sämihaldâttâs	säämi+N+Cmp/SgNom+Cmp#haldâttâs+N+Sg+Nom
sämihaldâttâs	säämi+N+Cmp/SgGen+Cmp#haldâttâs+N+Sg+Nom
sämihaldâttâs	sämihaldâttâs+N+Sg+Nom

sämikuávlu	säämi+N+Cmp/SgNom+Cmp#kuávlu+N+Sg+Nom
sämikuávlu	säämi+N+Cmp/SgGen+Cmp#kuávlu+N+Sg+Nom
sämikuávlu	sämikuávlu+N+Sg+Nom

sämitigge	säämi+N+Cmp/SgNom+Cmp#tigge+N+Sg+Nom
sämitigge	säämi+N+Cmp/SgGen+Cmp#tigge+N+Sg+Nom
sämitigge	sämitigge+N+Sg+Nom

sämmilijpappâ	sämmilâš+N+Cmp/PlGen+Cmp#pappâ+N+Sg+Nom
sämmilijpappâ	sämmilijpappâ+N+Sg+Nom

särgisaččinlodde	särgisaččinlodde+N+Sg+Nom

sätišlaajâ	säti+A+Cmp/Attr+Cmp#šlaajâ+N+Sg+Nom
sätišlaajâ	sätišlaajâ+N+Sg+Nom

sävri	sävri+A+Sg+Nom

talhâspastem	taalhâs+N+Cmp/SgNom+Cmp#pastem+N+Sg+Nom
talhâspastem	taalhâs+N+Cmp/SgNom+Cmp#pasteđ+V+Der/NomAg+N+Sg+Gen+PxSg1+Err/Orth
talhâspastem	taalhâs+N+Cmp/SgNom+Cmp#pasteđ+V+Der/NomAg+N+Sg+Nom+PxSg1
talhâspastem	taalhâs+N+Cmp/SgNom+Cmp#pasteđ+V+Der/NomAct+N+Sg+Nom
talhâspastem	talhâspastem+N+Sg+Nom


tavepuálččimieđâš	tave+N+Cmp/SgGen+Cmp#puálčči+N+Cmp/SgNom+Cmp#mietâ+N+Der/Dimin+N+Sg+Nom
tavepuálččimieđâš	tave+N+Cmp/SgGen+Cmp#puálčči+N+Cmp/SgNom+Cmp#mieđâš+N+Sg+Nom
tavepuálččimieđâš	tave+N+Cmp/SgNom+Cmp#puálčči+N+Cmp/SgNom+Cmp#mietâ+N+Der/Dimin+N+Sg+Nom
tavepuálččimieđâš	tave+N+Cmp/SgNom+Cmp#puálčči+N+Cmp/SgNom+Cmp#mieđâš+N+Sg+Nom
tavepuálččimieđâš	tave+N+Cmp/SgNom+Cmp#puálčči+N+Cmp/SgNom+Cmp#mietâ+N+Der/Dimin+N+Sg+Nom
tavepuálččimieđâš	tave+N+Cmp/SgNom+Cmp#puálčči+N+Cmp/SgNom+Cmp#mieđâš+N+Sg+Nom
tavepuálččimieđâš	tavepuálččimieđâš+N+Sg+Nom

tepčuđ	tepčuđ+V+Inf
tepčuđ	tepčuđ+V+Imprt+Pl2


tervi	tervi+Adv

tevkismiehtâkozzâh	tevkkâd+A+Cmp/Attr+Cmp#miehtâ+N+Cmp/SgNom+Cmp#kozzâh+N+Sg+Nom
tevkismiehtâkozzâh	tevkismiehtâkozzâh+N+Sg+Nom

tevkispennuučalme	tevkkâd+A+Cmp/Attr+Cmp#peenuv+N+Cmp/SgGen+Cmp#čalme+N+Sg+Nom
tevkispennuučalme	tevkkâd+A+Cmp/Attr+Cmp#pennuučalme+N+Sg+Nom
tevkispennuučalme	tevkispennuučalme+N+Sg+Nom

tevkistieppimaadâ	tevkkâd+A+Cmp/Attr+Cmp#tieppi+N+Cmp/SgNom+Cmp#maadâ+N+Sg+Nom
tevkistieppimaadâ	tevkkâd+A+Cmp/Attr+Cmp#tieppi+N+Cmp/SgNom+Cmp#maadâ+N+Cmp/SgNom+Attr+Err/Orth
tevkistieppimaadâ	tevkistieppimaadâ+N+Sg+Nom

texasspiijnelostâ	texasspiijnelostâ+N+Sg+Nom

tibbii	tibbii+Adv

tibi	tibi+Interj
tibi	tibi+Pcle
tibi	tibi+Adv

tidde	tidde+N+Sg+Nom

tiegân	tiegân+Interj



tijdâpuájui	tijdâ+N+Cmp/SgNom+Cmp#puájui+N+Sg+Nom
tijdâpuájui	tijdâpuájui+N+Sg+Nom


tiänusälttisyeini	tiänusälttisyeini+N+Sg+Nom



toldeves	toldeves+A+Sg+Nom

tolliđ	tolliđ+V+Inf
tolliđ	tolliđ+V+Imprt+Pl2



toŋâsluhtee	tooŋâs+N+Cmp/SgNom+Cmp#luhtee+N+Sg+Nom
toŋâsluhtee	toŋâsluhtee+N+Sg+Nom

tublespokkâlem	tuble+N+Cmp/SgGen+Cmp#spokkâlem+N+Sg+Nom
tublespokkâlem	tuble+N+Cmp/SgGen+Cmp#spokkâliđ+V+Der/NomAct+N+Sg+Nom
tublespokkâlem	tuble+N+Cmp/SgNom+Cmp#spokkâlem+N+Sg+Nom
tublespokkâlem	tuble+N+Cmp/SgNom+Cmp#spokkâliđ+V+Der/NomAct+N+Sg+Nom
tublespokkâlem	tublespokkâlem+N+Sg+Nom

tulkkâdijjeevuotâ	tulkkâdijjeevuotâ+N+Sg+Nom


tuodârkuovgispuájui	tuodâr+N+Cmp/SgNom+Cmp#kuovgispuájui+N+Sg+Nom
tuodârkuovgispuájui	tuodârkuovgispuájui+N+Sg+Nom

tuodârčiävžui	tuodâr+N+Cmp/SgNom+Cmp#čiävžui+N+Sg+Nom
tuodârčiävžui	tuodârčiävžui+N+Sg+Nom

tuolbâsyeini	tuolbâsyeini+N+Sg+Nom


turrâšuđ	turrâšuđ+V+IV+Inf
turrâšuđ	turrâšuđ+V+IV+Imprt+Pl2




tuárgástittiđ	tuárgástittiđ+V+Inf

tuárishirsâ	tuáris+A+Cmp/SgNom+Cmp#hirsâ+N+Sg+Nom
tuárishirsâ	tuáris+A+Cmp/Attr+Cmp#hirsâ+N+Sg+Nom
tuárishirsâ	tuárishirsâ+N+Sg+Nom

tuárisspaagaat	tuáris+A+Cmp/SgNom+Cmp#spaagaat+v1+N+Sg+Nom
tuárisspaagaat	tuáris+A+Cmp/SgNom+Cmp#spaagaat+v2+N+Sg+Nom
tuárisspaagaat	tuáris+A+Cmp/Attr+Cmp#spaagaat+v1+N+Sg+Nom
tuárisspaagaat	tuáris+A+Cmp/Attr+Cmp#spaagaat+v2+N+Sg+Nom
tuárisspaagaat	tuárisspaagaat+v1+N+Sg+Nom
tuárisspaagaat	tuárisspaagaat+v2+N+Sg+Nom

tuárisávju	tuáris+A+Cmp/SgNom+Cmp#ávju+N+Sg+Nom
tuárisávju	tuáris+A+Cmp/Attr+Cmp#ávju+N+Sg+Nom
tuárisávju	tuárisávju+N+Sg+Nom

tuárisšorde	tuáris+A+Cmp/SgNom+Cmp#šorde+N+Sg+Nom
tuárisšorde	tuáris+A+Cmp/Attr+Cmp#šorde+N+Sg+Nom
tuárisšorde	tuárisšorde+N+Sg+Nom

tyeldeekäldee	tyeldeekäldee+N+Sg+Nom
tyeldeekäldee	tuoldâđ+V+Der/NomAg+N+Cmp/SgGen+Cmp#käldee+N+Sg+Nom
tyeldeekäldee	tuoldâđ+V+Der/NomAg+N+Cmp/SgNom+Cmp#käldee+N+Sg+Nom

táiguđ	táiguđ+V+Imprt+Pl2
táiguđ	táiguđ+V+Inf

táissuđ	táissuđ+V+Imprt+Pl2
táissuđ	táissuđ+V+Inf



táálluntoohâm	táálluntoohâm+N+Sg+Nom


täiđittem	täiđiđ+V+Der/tt+V+Actio+Nom
täiđittem	täiđiđ+V+Der/tt+V+Der/NomAct+N+Sg+Nom
täiđittem	täiđittem+A+Sg+Nom


ubbân	ubbân+Adv


uccâriddokáánááš	ucce+A+Cmp/Attr+Cmp#riddo+N+Cmp/SgNom+Cmp#káánááš+N+Sg+Nom
uccâriddokáánááš	uccâriddokáánááš+N+Sg+Nom

uccâsodâsteijee	ucce+A+Cmp/Attr+Cmp#sodâstiđ+V+Der/NomAg+N+Sg+Nom
uccâsodâsteijee	uccâsodâsteijee+N+NomAg+Sg+Nom

ucjuvlâš	ucjuvlâš+A+Sg+Nom
ucjuvlâš	ucjuvlâš+A+Attr
ucjuvlâš	ucjuvlâš+N+Sg+Nom

ucánjihhii	ucánjihhii+Adv


ulgâ	ulgâ+N+Sg+Nom

umástittiđ	umástiđ+V+Der/Caus+V+Inf
umástittiđ	umástittiđ+V+Inf


urmápuárui	urmá+N+Cmp/SgGen+Cmp#puárui+N+Sg+Nom
urmápuárui	urmá+N+Cmp/SgNom+Cmp#puárui+N+Sg+Nom
urmápuárui	urmápuárui+N+Sg+Nom

uulgah	ulgâ+N+Pl+Nom


uáinulâš	uáinulâš+A+Sg+Nom
uáinulâš	uáinulâš+A+Attr
uáinulâš	uáinu+N+Der/Nom+Der/lasj+A+Sg+Nom
uáinulâš	uáinu+N+Der/Nom+Der/lasj+A+Attr
uáinulâš	uáinu+N+Der/lasj+A+Sg+Nom
uáinulâš	uáinu+N+Der/lasj+A+Attr

uáivi	uáivi+N+Sg+Nom

uánihiskieddisyeini	uánih+A+Cmp/Attr+Cmp#kieddi+N+Cmp/SgNom+Cmp#syeini+N+Sg+Nom
uánihiskieddisyeini	uánih+A+Cmp/Attr+Cmp#kieddisyeini+N+Sg+Nom
uánihiskieddisyeini	uánihâš+A+Cmp/Attr+Cmp#kieddi+N+Cmp/SgNom+Cmp#syeini+N+Sg+Nom
uánihiskieddisyeini	uánihâš+A+Cmp/Attr+Cmp#kieddisyeini+N+Sg+Nom
uánihiskieddisyeini	uánihiskieddisyeini+N+Sg+Nom

uánihisnjunčuánjá	uánihisnjunčuánjá+N+Sg+Nom

uánihissyeini	uánih+A+Cmp/Attr+Cmp#syeini+N+Sg+Nom
uánihissyeini	uánihâš+A+Cmp/Attr+Cmp#syeini+N+Sg+Nom
uánihissyeini	uánihissyeini+N+Sg+Nom


vahtiđ	vahtiđ+V+Inf
vahtiđ	vahtiđ+V+Imprt+Pl2

vaibâsvuotâ	vaaibâs+A+Der/vuota+N+Sg+Nom
vaibâsvuotâ	vaibâsvuotâ+N+Sg+Nom

valdâttâh	valdâttâh+N+Sg+Nom

valgâmkuákki	valgâđ+V+Der/NomAct+N+Cmp/SgGen+Cmp#kuákki+N+Sg+Nom
valgâmkuákki	valgâđ+V+Der/NomAct+N+Cmp/SgNom+Cmp#kuákki+N+Sg+Nom
valgâmkuákki	valgâm+N+Cmp/SgGen+Cmp#kuákki+N+Sg+Nom
valgâmkuákki	valgâm+N+Cmp/SgNom+Cmp#kuákki+N+Sg+Nom
valgâmkuákki	valgâmkuákki+N+Sg+Nom

valjeihe	valje+N+Cmp/SgGen+Cmp#ihe+N+Sg+Nom
valjeihe	valje+N+Cmp/SgNom+Cmp#ihe+N+Sg+Nom
valjeihe	valjeihe+N+Sg+Nom

varjâgâš	varjâgâš+A+Sg+Nom
varjâgâš	varjâgâš+N+Sg+Nom



veddiđ	veddiđ+V+Inf
veddiđ	veddiđ+V+Imprt+Pl2





virdáá	virdáá+A+Sg+Nom

virgekodde	virge+N+Cmp/SgGen+Cmp#kodde+N+Sg+Nom
virgekodde	virge+N+Cmp/SgNom+Cmp#kodde+N+Sg+Nom
virgekodde	virgekodde+N+Sg+Nom

viälgásadelem	viälgásadelem+N+Sg+Nom

viäruipuásui	viäru+N+Cmp/PlGen+Cmp#puásui+N+Sg+Nom
viäruipuásui	viäruipuásui+N+Sg+Nom



voccii	voccii+A+Sg+Nom



vuonjâl	vuonjâl+N+Sg+Nom



vuávnus	vuávnuđ+V+Imprt+Du3
vuávnus	vuávnuđ+V+Imprt+Pl3
vuávnus	vuávnuđ+V+Imprt+Sg3


vyettiđ	vyettiđ+V+Inf
vyettiđ	vyettiđ+V+Imprt+Pl2

vyevdi	vyevdi+N+Sg+Nom

vyevdipuájui	vyevdi+N+Cmp/SgGen+Cmp#puájui+N+Sg+Nom
vyevdipuájui	vyevdi+N+Cmp/SgNom+Cmp#puájui+N+Sg+Nom
vyevdipuájui	vyevdipuájui+N+Sg+Nom





árguđ	árguđ+V+Imprt+Pl2
árguđ	árguđ+V+Inf


ávuskoskâvuotâ	ávus+A+Cmp/Attr+Cmp#koskâvuotâ+N+Sg+Nom
ávuskoskâvuotâ	ávuskoskâvuotâ+N+Sg+Nom

ášásteijee	ášástiđ+V+PrsPrc
ášásteijee	ášástiđ+V+Der/NomAg+N+Sg+Nom
ášásteijee	ášásteijee+N+NomAg+Sg+Nom



ålandlâš	ålandlâš+A+Sg+Nom
ålandlâš	ålandlâš+A+Attr
ålandlâš	ålandlâš+N+Sg+Nom

čalmešielâ	čalme+N+Cmp/SgGen+Cmp#šielâ+N+Sg+Nom
čalmešielâ	čalme+N+Cmp/SgNom+Cmp#šielâ+N+Sg+Nom
čalmešielâ	čalmešielâ+N+Sg+Nom

čapisjyelgpuváduvvâš	čapisjyelgpuváduvvâš+N+Sg+Nom


čeeppiht	čeeppiht+Adv

čevenävdi	čeve+N+Cmp/SgNom+Cmp#nävdi+N+Sg+Nom
čevenävdi	čevenävdi+N+Sg+Nom

čevđittem	čevđittem+A+Sg+Nom

čiermihât	čiermihât+N+Sg+Nom

čievâr	čievâr+N+Sg+Nom


čivttâkärdi	čivttâkärdi+N+Sg+Nom

čiälgusoivij	čiälgusoivij+Adv


čiäppáht	čiäppáht+Adv


čohčâuuccâm	čohčâ+N+Cmp/SgNom+Cmp#uuccâm+N+Sg+Nom
čohčâuuccâm	čohčâ+N+Cmp/SgNom+Cmp#uuccâđ+V+Der/NomAct+N+Sg+Nom
čohčâuuccâm	čohčâuuccâm+N+Sg+Nom




čuhâpođâšširree	čuhâpođâšširree+N+Sg+Nom


čuogâstâh	čuogâstâh+N+Sg+Nom

čuoigâtteijee	čuoigâđ+V+Der/tt+V+PrsPrc
čuoigâtteijee	čuoigâđ+V+Der/tt+V+Der/NomAg+N+Sg+Nom
čuoigâtteijee	čuoigâtteijee+N+NomAg+Sg+Nom
čuoigâtteijee	čuoigâttiđ+V+PrsPrc
čuoigâtteijee	čuoigâttiđ+V+Der/NomAg+N+Sg+Nom

čuoigâttiđ	čuoigâđ+V+Der/tt+V+Imprt+Pl2
čuoigâttiđ	čuoigâđ+V+Der/tt+V+Inf
čuoigâttiđ	čuoigâttiđ+V+Imprt+Pl2
čuoigâttiđ	čuoigâttiđ+V+Inf

čuolmuđ	čuolmuđ+V+Inf
čuolmuđ	čuolmuđ+V+Imprt+Pl2


čuoškii	čuoškii+A+Sg+Nom



čuuskâš	čuskâ+N+Der/Dimin+N+Sg+Nom
čuuskâš	čuuskâš+N+Sg+Nom


čuálittem	čuáli+v1+N+Der/Car+A+Sg+Nom
čuálittem	čuálittem+A+Sg+Nom

čuámáttâsnuurâs	čuámáttâsnuurâs+N+Sg+Nom


čuárvumloová	čuárvuđ+V+Der/NomAct+N+Cmp/SgNom+Cmp#loová+N+Sg+Nom
čuárvumloová	čuárvum+N+Cmp/SgGen+Cmp#loová+N+Sg+Nom
čuárvumloová	čuárvum+N+Cmp/SgNom+Cmp#loová+N+Sg+Nom
čuárvumloová	čuárvumloová+N+Sg+Nom

čuávjittem	čuávjittem+A+Sg+Nom


čálástâh	čálástâh+N+Sg+Nom

čápudeijeepuájui	čápudiđ+V+Der/NomAg+N+Cmp/SgGen+Cmp#puájui+N+Sg+Nom
čápudeijeepuájui	čápudiđ+V+Der/NomAg+N+Cmp/SgNom+Cmp#puájui+N+Sg+Nom
čápudeijeepuájui	čápudeijeepuájui+N+Sg+Nom

čäcitäsni	čääci+N+Cmp/SgNom+Cmp#täsni+N+Sg+Nom
čäcitäsni	čäcitäsni+N+Sg+Nom

šelgishaamiträäsi	šelgâd+A+Cmp/Attr+Cmp#haamit+N+Cmp/SgGen+Cmp#rääsi+N+Sg+Nom
šelgishaamiträäsi	šelgâd+A+Cmp/Attr+Cmp#haamit+N+Cmp/SgNom+Cmp#rääsi+N+Sg+Nom
šelgishaamiträäsi	šelgishaamiträäsi+N+Sg+Nom

šelgisuáiváásuáhi	šelgâd+A+Cmp/Attr+Cmp#uáiváš+N+Cmp/SgGen+Cmp#suáhi+N+Sg+Nom
šelgisuáiváásuáhi	šelgisuáiváásuáhi+N+Sg+Nom


šišneeh	šišneeh+N+Sg+Nom

šolbiđ	šolbiđ+V+Inf
šolbiđ	šolbiđ+V+Imprt+Pl2

šolkkiđ	šolkkiđ+V+Inf
šolkkiđ	šolkkiđ+V+Imprt+Pl2

šolliđ	šolliđ+V+Inf
šolliđ	šolliđ+V+Imprt+Pl2

šordáá	šordáá+A+Sg+Nom

šovkisčäciherttâ	šovkkâd+A+Cmp/Attr+Cmp#čääci+N+Cmp/SgNom+Cmp#herttâ+N+Sg+Nom
šovkisčäciherttâ	šovkkâd+A+Cmp/Attr+Cmp#čäciherttâ+N+Sg+Nom
šovkisčäciherttâ	šovkisčäciherttâ+N+Sg+Nom

