kolmuđ	XXX	xx
lává jo	ovat jo (kaksikko)	xx
oovdân	 eteen		(oovdâst)	xx
ááimun	 ilmaan	(áimu)	xx
muáđuh	 kasvot	(muátu)	xx
käävpist	 kaupassa	xx
poostâst	 postissa	xx
avdost	 autossa	xx
tovlddee	 tuolta	xx
sunjin	hänelle	xx
must iä lah	 minulla ei ole	xx
oppeed	taasen	xx
oppeet	taasen	xx
olgos	ulos	xx
kieđâh láá	kädet ovat	xx
muorâh láá	 puut ovat	xx
vaacah	lapaset	xx
suu vaacâid	 hänen lapaset	xx
iäráseh	 toiset,muut	xx
suovâh	 savut	xx
kukken oro	 kaukana tuntuu	xx
ele tuolmâ	 älä polje	xx
aigum tuše	 aioin vain	xx
et lah-uv kolmum	että oletko paleltunut	xx
tovlddee uáinoo	tuolla näkyy	xx
ferttiim	 minun täytyy	xx
jiem-uvsun	enköhän vielä	xx
ij-uv vala	 eikö vielä	xx
markkânist	 kylällä	xx
alne	 päällä	xx
tääl mun	nyt minä	xx
kuus tun	 minne sinä	xx
taid	niitä	xx
liiba pyeri	onpa hyvä	xx
sust ij lah innig hänellä ei ole enää	xx
