Aaltokari — Áldukárgu (EA)
Aaltoniemi — Áldunjargâ (1)
Aaltosalmi — Áldučuálmi (EA)
Aaltovaara — Álduvääri (1)
Aapolampi — Aapoluubbâl (MML Ǩ006, JM)
Aaponniitty — Áábrâmnijtto (4812)
Aasniemi — Aasnjargâ (KL)
Aataminsaari — Ááddágsuálui (1)
Ahelimjärvi — Ahelimjävri (TII 1963)
Ahkiojärvi — Kerrisjävri ~ Kerris­ jáávráš (3834, TII 1963)
Ahkiontekemäjärvi — Kerrisrähtimjäv­ ri (3832, LL 1981)
Ahkiovaara — Kerrisvääri (SA 1964)
Ahmajärvet — Kiäđhášjávrááh ~ Ket­ kijávrááh (SA 1964,  Ǩ+ 1)
Ahmajärvet — Kiäđhášjäävrih (SA 1964)
Ahmajärvi — Ǩeä ́tǩǩjäu ́rr (MML, JM)
Ahmajärvi — Meett Ǩeä ́tǩǩjäu ́rr (MML, JM)
Ahmalahti — Keeđhiluohtâ (AWG 1901)
Ahmamorosto ~ Karhumorosto — Ket­ kimoorâst ~ Kuobžâmoorâst (3834, SA 1964)
Ahmaoja — Ketkijuuvâš (TII 1963)
Ahmaoja — Kiäđhášjuuvâš ~ Ketki­ juuvâš (SA 1964,  Ǩ+ 1)
Ahmasaari — Keeđhisuálui (AS)
Ahmasalmi — Keeđhičuálmi (AS)
Ahmasalmi — Keeđhičuálmi (LL 1981, AWG 1901)
Ahmasjärvi — Kiäđhášjävri (SA 1964)
Ahvenjärvet — Vuáskujávrááh ~ Vuáskujäävrih (1)
Ahvenjärvet — Vuáskujäävrih — Vuâskjääu ́r (SA 1963, JM)
Ahvenjärvet — Vuáskujäävrih ~ Vuáskujávrááh (SA 1964, TII 1963)
Ahvenjärvi — Vuáskujáávráš — Vuâskjääuraž (JM)
Ahvenjärvi — Vuáskujävri (1)
Ahvenjärvi — Vuáskujävri (3834)
Ahvenjärvi — Vuáskujävri (4812)
Ahvenjärvi — Vuoskkojávri — Vuás­ kujävri — Vuâskjäu ́rr (MML, STK 1929, JM)
Ahvenjärvi — Vuâskjäu ́rr (MML)
Ahvenjärvi — Vuáskujävri (AS)
Ahvenjärvi — Vuâskjäu ́rr (MML Ǩ006)
Ahvenjärvi — Vuáskujáávráš (1)
Ahvenjärvi — Vuáskujävri — Vuâsk­ jäu ́rr (Ǩ+ 1, JM)
